,Mean_WT,Mean_KD,FoldChangeKD2WT
Actg2,2037.4372215,934.7372025500001,0.45904636781574787
Col1a1,13782.564555,6947.6982179999995,0.504129261358547
Mgp,1047.875126,470.33507335,0.4493719620823576
Igf2,6627.8676225,3515.4796475000003,0.5304796909149622
Ndufa4l2,53.545815365,203.10935245000002,3.741980041625142
Acta2,13287.411414999999,6845.169932,0.5151985228476613
Col1a2,6748.9202345,3547.4212245,0.5256982454938371
H19,9011.655218,4924.8803225,0.5465515104430128
Bgn,8060.0220635000005,4465.9097235,0.554136893350782
Col3a1,2104.251178,1067.80137995,0.5076835444240754
Myl9,2853.987103,1483.387687,0.5199279833664453
Pfkp,1996.0807584999998,3579.567053,1.7929004812451106
Col5a1,3008.0936149999998,1637.0703429999999,0.5443733404751517
Cd248,980.3191057500001,478.82134729999996,0.48895547277996115
Fbln5,373.07711165,142.6430522,0.38399316003700756
Lsm1,587.7422670999999,270.7023824,0.46149630760899724
Plac8,371.18474265,152.93749605,0.41360506869235575
Ctgf,3519.1921199999997,1879.7558085,0.5342764668480652
Timp2,2861.2989125,1647.2375215,0.5758439533697723
Thy1,1796.8050125,1019.8064496000001,0.5678070994921092
Tagln,10375.1827925,5731.8725345,0.5525030398118828
Fbn1,1349.5079925,697.11576585,0.5169282741953117
Lox,2359.3783550000003,1184.1427758,0.5020986458757795
Cnn2,2450.228184,1432.296637,0.5847259126488568
Lgals1,11961.583475,7313.963779,0.6114869580042784
Col12a1,1119.89794415,569.3825608500001,0.5088621705721237
Cyr61,2356.1473955,1329.8523575,0.5646029433885692
Parva,1000.2511350499999,545.4951831999999,0.5458122983028723
Tnc,9349.7196195,5227.0998545,0.5591120327891466
Cd63,3300.4982085,1991.516157,0.6035187757697673
Gadd45g,495.99225739999997,234.5768503,0.47400507108986606
Klf4,4445.040766,7291.442338499999,1.640210407935787
Fstl1,4147.6932195,2422.5786715000004,0.5841788108381969
Serpinf1,1367.215967,762.73963205,0.5582010811674732
Prss23,1618.5914785,863.0785799,0.5335163782784746
Zan,44.6902094,140.6105695,3.099363547675052
Slc25a20,385.70954625,724.06904535,1.8749706398022492
Cdk1,2167.5761405000003,3546.1593545,1.635708928201223
Cnn1,948.3838736499999,520.73124245,0.5495471925851793
Cyp2s1,83.11145647500001,211.1339606,2.52205786809852
Tnfrsf12a,1111.296401,620.14748605,0.558437018668372
Loxl1,1520.2206975,763.2060629499999,0.5023637031798931
Cald1,4026.7976575000002,2346.4271465,0.5828066219088613
Loxl2,1605.456659,957.90487325,0.5969067810686576
Ly6a,644.4885072,336.18657029999997,0.5223742429786208
Sparc,8195.7737475,5051.285829500001,0.6163749281283918
Serpinh1,5290.1508195,3296.596298,0.6232285584918584
Tpm1,7000.921373499999,4310.693489,0.615787190258714
Cavin2,360.73755115,172.13724875000003,0.47862669551330606
Mapt,187.6164436,384.30876620000004,2.042816410095859
